Class,Id,Label
step0,XAFNIFIFEY,XAFNIFIFEY
step0,XAFNIFEFIFY,XAFNIFEFIFY
step0,XAFIDY,XAFIDY
step0,XAFNFEFIFEDY,XAFNFEFIFEDY
step0,XAFIFIFEY,XAFIFIFEY
step0,XAFNENIEY,XAFNENIEY
step0,XAFNFNFY,XAFNFNFY
step0,XAFNIDY,XAFNIDY
step0,XAFNIFEDY,XAFNIFEDY
step0,XAFEFDY,XAFEFDY
step0,XAFNIFY,XAFNIFY
step0,XAFNFEIFY,XAFNFEIFY
step0,XAFNFNIFY,XAFNFNIFY
step0,XAFENIY,XAFENIY
step0,XAFNIFNFEY,XAFNIFNFEY
step0,XAFENEY,XAFENEY
step0,XAFNFEIEY,XAFNFEIEY
step0,XAFENIFDY,XAFENIFDY
step0,XAFNFIFEDY,XAFNFIFEDY
step0,XAFNIEIFEY,XAFNIEIFEY
step0,XAFNIFEFNFEY,XAFNIFEFNFEY
step0,XAFEIEDY,XAFEIEDY
step0,XAFNIFEFIFDY,XAFNIFEFIFDY
step0,XAFNFNIFNIFEY,XAFNFNIFNIFEY
step0,XAFIFEY,XAFIFEY
step0,XAFNFNIFEFIFY,XAFNFNIFEFIFY
step0,XAFNENEY,XAFNENEY
step0,XAFEFY,XAFEFY
step0,XAFNINFEY,XAFNINFEY
step0,XAFNEIY,XAFNEIY
step0,XAFNIFDY,XAFNIFDY
step0,XAFNFNIY,XAFNFNIY
step0,XAFEDEY,XAFEDEY
step0,XAFNFY,XAFNFY
step0,XAFNFEFY,XAFNFEFY
step0,XAFNFNFEDY,XAFNFNFEDY
step0,XAFIFEFDY,XAFIFEFDY
step0,XAFIFENIFEDY,XAFIFENIFEDY
step0,XAY,XAY
step0,XAFNIFEDEY,XAFNIFEDEY
step0,XAFDEY,XAFDEY
step0,XAFNIEDEY,XAFNIEDEY
step0,XAFNIY,XAFNIY
step0,XAFIY,XAFIY
step0,XAFIFEDY,XAFIFEDY
step0,XAFNEFDY,XAFNEFDY
step0,XAFIFEIFY,XAFIFEIFY
step0,XAFNFIFEY,XAFNFIFEY
step0,XAFNFDY,XAFNFDY
step0,XAFNIFEY,XAFNIFEY
step0,XAFIFDY,XAFIFDY
step0,XAFNFEFDY,XAFNFEFDY
step0,XAFNFNY,XAFNFNY
step0,XAFIFDEY,XAFIFDEY
step0,XAFNFNIFEFIY,XAFNFNIFEFIY
step0,XAFENIFEDY,XAFENIFEDY
step0,XAFNFNIFEFIFEY,XAFNFNIFEFIFEY
step0,XAFNIFEFIFEY,XAFNIFEFIFEY
step0,XAFNIFENFEY,XAFNIFENFEY
step0,XAFNFIEY,XAFNFIEY
step0,XAFNFEDY,XAFNFEDY
step0,XAFNFDEY,XAFNFDEY
step0,XAFIEDY,XAFIEDY
step0,XAFNEY,XAFNEY
step0,XAFNFINFDY,XAFNFINFDY
step0,XAFNIFEFIEY,XAFNIFEFIEY
step0,XAFIFEFIFEY,XAFIFEFIFEY
step0,XAFIEY,XAFIEY
step0,XAFIFY,XAFIFY
step0,XAFEFEDY,XAFEFEDY
step0,XAFNFNIFEY,XAFNFNIFEY
step0,XAFNIFNIFEY,XAFNIFNIFEY
step0,XAFNFEFIFEY,XAFNFEFIFEY
step0,XAFNEFEDY,XAFNEFEDY
step0,XAFINFEY,XAFINFEY
step0,XAFNIDEY,XAFNIDEY
step0,XAFEIFY,XAFEIFY
step0,XAFNFEDEY,XAFNFEDEY
step0,XAFNFIY,XAFNFIY
step0,XAFIFEFY,XAFIFEFY
step0,XAFNY,XAFNY
step0,XAFNFNIFEDY,XAFNFNIFEDY
step0,XAFNIEDY,XAFNIEDY
step0,XAFY,XAFY
step0,XAFENIEDY,XAFENIEDY
step0,XAFNIFEFDY,XAFNIFEFDY
step0,XAFNIEY,XAFNIEY
step0,XAFIFEFIFY,XAFIFEFIFY
step0,XAFEY,XAFEY
step0,XAFNFNIFEFY,XAFNFNIFEFY
step0,XAFDY,XAFDY
step0,XAFNIFEFY,XAFNIFEFY
step0,XAFNFNFEDEY,XAFNFNFEDEY
step0,XAFEIEY,XAFEIEY
step0,XAFIFEIFEY,XAFIFEIFEY
step0,XAFEDY,XAFEDY
step0,XAFNIFEIFEY,XAFNIFEIFEY
step0,XAFENFIFEDY,XAFENFIFEDY
step0,XAFEFEY,XAFEFEY
step0,XAFNEIEDY,XAFNEIEDY
step0,XAFNFEY,XAFNFEY
step0,XAFNFEFIEY,XAFNFEFIEY
step0,XAFNFNIFEIFEY,XAFNFNIFEIFEY
step0,XAFNEDY,XAFNEDY
step0,XAFNIFDEY,XAFNIFDEY
step0,XAFNIEFIFEY,XAFNIEFIFEY
step0,XAFNIFEFNIFEY,XAFNIFEFNIFEY
step0,XAFNFIFEDEY,XAFNFIFEDEY
step0,XAFENIFEFDY,XAFENIFEFDY
step0,XAFNFIFDY,XAFNFIFDY
