;*01;A00;D17;E02;E04;E10;E16;F01;F05;F09;F11;F15;I07;I13;N03;N06;N08;N12;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0;0.014778325123152709;0;0;0;0.5796387520525451;0;0;0;0;0.33825944170771755;0;0.06732348111658457;0;0;0;0
D17;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0;0;0;0;0;0;0;0;0.2857142857142857;0;0;0;0.37142857142857144;0;0.34285714285714286;0;0;0;0
E04;0.75;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E10;0.8210862619808307;0;0.1597444089456869;0;0;0;0;0;0;0;0.012779552715654952;0;0;0.003194888178913738;0;0;0;0.003194888178913738;0
E16;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0;0.07365439093484419;0;0;0;0;0;0;0;0;0.5354107648725213;0;0.3909348441926346;0;0;0;0
F05;0.35333333333333333;0;0.41333333333333333;0;0;0.17333333333333334;0;0;0;0;0;0;0.04666666666666667;0;0;0.013333333333333334;0;0;0
F09;0.14285714285714285;0;0.22448979591836735;0;0;0.60932944606414;0;0;0;0;0;0;0;0.014577259475218658;0;0;0;0.008746355685131196;0
F11;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F15;0.125;0;0;0;0;0;0.875;0;0;0;0;0;0;0;0;0;0;0;0
I07;0.0182648401826484;0;0.02511415525114155;0;0;0.17579908675799086;0;0;0;0.7374429223744292;0;0;0;0;0;0;0.04337899543378995;0;0
I13;0;0;0;0;0;0;0.16666666666666666;0;0;0;0;0.8333333333333334;0;0;0;0;0;0;0
N03;0;0;0;0;0.14659685863874344;0;0;0;0.7329842931937173;0;0;0;0.12041884816753927;0;0;0;0;0;0
N06;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
N08;0;0;0;0;0;0.05263157894736842;0;0;0;0.9473684210526315;0;0;0;0;0;0;0;0;0
N12;0.25;0;0;0;0;0;0;0;0;0;0;0.75;0;0;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
