;*01;A00;D22;E02;E10;E16;E23;F01;F05;F09;F11;F15;F17;F21;I07;I13;I19;N03;N06;N08;N12;N14;N18;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0;0.029850746268656716;0;0;0;0.9253731343283582;0;0;0;0;0;0;0.014925373134328358;0;0;0.029850746268656716;0;0;0;0;0;0
D22;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0;0;0;0;0;0;0;0;0.6666666666666666;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0
E10;0;0;0;0;0;0;0;0;0;0;0.7321428571428571;0;0;0;0;0.10714285714285714;0;0;0;0;0.16071428571428573;0;0;0
E16;0.6379310344827587;0;0.08620689655172414;0;0;0;0;0;0;0;0;0;0.15517241379310345;0;0;0;0.10344827586206896;0;0;0;0;0;0.017241379310344827;0
E23;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0;0.016129032258064516;0;0;0;0;0;0;0;0;0;0;0.1935483870967742;0;0;0.7903225806451613;0;0;0;0;0;0
F05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6666666666666666;0;0;0;0.3333333333333333;0;0;0;0;0
F09;0;0;0;0;0.9032258064516129;0;0;0;0;0;0;0;0;0;0;0.04838709677419355;0;0;0;0;0.04838709677419355;0;0;0
F11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8048780487804879;0;0;0;0;0.1951219512195122;0;0;0
F15;0.03333333333333333;0;0.06666666666666667;0;0;0.8666666666666667;0;0;0;0;0;0;0;0;0;0;0.016666666666666666;0;0;0;0;0;0.016666666666666666;0
F17;0.1111111111111111;0;0.2222222222222222;0;0;0;0.5555555555555556;0;0;0;0;0;0;0;0;0;0.1111111111111111;0;0;0;0;0;0;0
F21;0.14285714285714285;0;0;0;0;0;0.8571428571428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I07;0;0;0;0;0;0;0;0;0;0.8955223880597015;0;0;0;0;0;0;0;0;0;0.1044776119402985;0;0;0;0
I13;0;0;0;0;0;0.017543859649122806;0;0;0;0;0;0.9122807017543859;0;0;0;0;0;0;0;0;0;0.07017543859649122;0;0
I19;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0
N03;0;0;0;0;0;0;0;0;0.0196078431372549;0;0;0;0;0;0.9803921568627451;0;0;0;0;0;0;0;0;0
N06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
N08;0;0;0;0;0;0;0;0;0;0.2857142857142857;0;0;0;0;0;0.7142857142857143;0;0;0;0;0;0;0;0
N12;0;0;0;0;0;0.25;0;0;0;0;0;0.25;0;0;0;0.5;0;0;0;0;0;0;0;0
N14;0;0;0;0;0;0;0;0;0;0;0;0.75;0;0;0;0;0.25;0;0;0;0;0;0;0
N18;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
