;*01;A00;D17;E02;E04;E10;F01;F05;F09;I07;I13;N03;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0.0019120458891013384;0;0.03441682600382409;0.032504780114722756;0;0;0.847036328871893;0;0;0.06692160611854685;0;0.017208413001912046;0
D17;1.0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0.7549668874172185;0;0.17218543046357615;0;0;0;0;0.052980132450331126;0;0.009933774834437087;0;0.009933774834437087;0
E04;0;0;1.0;0;0;0;0;0;0;0;0;0;0
E10;0.6956521739130435;0;0.30434782608695654;0;0;0;0;0;0;0;0;0;0
F01;0.1580135440180587;0;0.16027088036117382;0.6433408577878104;0;0;0;0;0;0.01580135440180587;0;0.022573363431151242;0
F05;0.4;0;0.28;0;0;0.32;0;0;0;0;0;0;0
F09;0.9411764705882353;0;0;0;0;0;0;0;0;0;0.058823529411764705;0;0
I07;0.21739130434782608;0;0.08695652173913043;0;0;0.32608695652173914;0;0;0.3695652173913043;0;0;0;0
I13;0;0;1.0;0;0;0;0;0;0;0;0;0;0
N03;0.4090909090909091;0;0.09090909090909091;0;0.045454545454545456;0;0;0.4090909090909091;0;0.045454545454545456;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0
