;*01;A00;D17;E02;E04;E10;E16;F01;F05;F09;F11;F15;I07;I13;N03;N08;N12;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0;0.0017761989342806395;0;0;0;0.9040852575488455;0;0;0;0;0.008880994671403197;0;0.0852575488454707;0;0;0
D17;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0
E04;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
E10;0;0;0.9618874773139746;0;0;0;0;0;0;0;0.036297640653357534;0;0;0.0018148820326678765;0;0;0;0
E16;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0;0.0019646365422396855;0;0;0;0;0;0;0;0;0.22986247544204322;0;0.768172888015717;0;0;0
F05;0;0;0;0;0;0.9672131147540983;0;0;0;0;0;0;0.03278688524590164;0;0;0;0;0
F09;0;0;0.012552301255230125;0;0;0.9769874476987448;0;0;0;0;0;0;0;0.008368200836820083;0;0;0.0020920502092050207;0
F11;0.65;0;0.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F15;0;0;0.2;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0
I07;0;0;0;0;0;0.047619047619047616;0;0;0;0.9365079365079365;0;0;0;0;0;0.015873015873015872;0;0
I13;0.16666666666666666;0;0;0;0;0;0;0;0;0;0;0.8333333333333334;0;0;0;0;0;0
N03;0;0;0;0;0.0022675736961451248;0;0;0;0.1360544217687075;0;0;0;0.8616780045351474;0;0;0;0;0
N08;0;0;0;0;0;0.125;0;0;0;0.75;0;0;0;0.125;0;0;0;0
N12;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
