;*01;A00;E02;E04;E10;E16;F01;F05;F09;F15;I07;I13;N03;N08;N12;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0.0029239766081871343;0;0;0;0.9970760233918129;0;0;0;0;0;0;0;0;0
E02;0;0;0;0;0;0;0;0;0;0;0.5833333333333334;0;0.4166666666666667;0;0;0
E04;0;0;0;0;0;0;0;0.75;0;0;0.25;0;0;0;0;0
E10;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E16;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0.01466275659824047;0;0;0;0;0;0;0;0.002932551319648094;0;0.9824046920821115;0;0;0
F05;0;0;0;0;0.16666666666666666;0;0;0;0;0;0.8333333333333334;0;0;0;0;0
F09;0.0565149136577708;0;0;0;0.9419152276295133;0;0;0;0;0;0;0;0;0;0.0015698587127158557;0
F15;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0
I07;0;0;0;0;0.06167400881057269;0;0;0;0.9309838472834068;0;0;0;0;0.007342143906020558;0;0
I13;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0
N03;0;0;0;0.005925925925925926;0;0;0;0.022222222222222223;0;0;0.9718518518518519;0;0;0;0;0
N08;0;0;0;0;0;0;0;0;0.6;0;0;0.4;0;0;0;0
N12;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
