;*01;A00;D22;E02;E04;E10;E16;E23;F01;F05;F09;F11;F15;F17;F21;I07;I13;I19;N03;N06;N08;N12;N14;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0;0.02654867256637168;0;0;0;0;0.8495575221238938;0;0;0;0;0;0;0.035398230088495575;0;0;0.08849557522123894;0;0;0;0;0
D22;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0;0;0;0;0;0;0;0;0;0.75;0;0;0;0;0;0.08333333333333333;0;0;0.16666666666666666;0;0;0;0;0
E04;0;0;0;0;0;0;0;0;0;0.75;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0
E10;0.06547619047619048;0;0.06547619047619048;0;0;0;0;0;0;0;0;0.19642857142857142;0;0;0;0;0.6190476190476191;0;0;0;0;0.05357142857142857;0;0
E16;0.9;0;0.08125;0;0;0;0;0;0;0;0;0;0;0.01875;0;0;0;0;0;0;0;0;0;0
E23;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0;0.09375;0;0;0;0;0;0;0;0;0;0;0;0.14583333333333334;0;0;0.7604166666666666;0;0;0;0;0
F05;0;0;0;0;0;0.46;0;0;0;0;0;0;0;0;0;0.38;0;0;0;0.16;0;0;0;0
F09;0.016574585635359115;0;0.011049723756906077;0;0;0.7182320441988951;0;0;0;0;0;0;0;0;0;0;0.16574585635359115;0;0;0;0;0.08839779005524862;0;0
F11;0.09090909090909091;0;0.6060606060606061;0;0;0;0.06060606060606061;0;0;0;0;0;0;0;0;0;0.24242424242424243;0;0;0;0;0;0;0
F15;0.08974358974358974;0;0.00641025641025641;0;0;0;0.8974358974358975;0;0;0;0;0;0;0;0;0;0;0.00641025641025641;0;0;0;0;0;0
F17;0.6666666666666666;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F21;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I07;0;0;0;0;0;0.06532663316582915;0;0;0;0;0.8693467336683417;0;0;0;0;0;0;0;0;0;0.06532663316582915;0;0;0
I13;0;0;0;0;0;0;0.07741935483870968;0;0;0;0;0;0.9161290322580645;0;0;0;0;0;0;0;0;0;0.0064516129032258064;0
I19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
N03;0;0;0;0;0.023529411764705882;0;0;0;0;0.17058823529411765;0;0;0;0;0;0.8058823529411765;0;0;0;0;0;0;0;0
N06;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0;0
N08;0;0;0;0;0;0.15384615384615385;0;0;0;0;0.3076923076923077;0;0;0;0;0;0.5384615384615384;0;0;0;0;0;0;0
N12;0;0;0;0;0;0;0.2;0;0;0;0;0;0.56;0;0;0;0.24;0;0;0;0;0;0;0
N14;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
